row_id,openemr_claim,doc_url,quote,fetched,result,evidence
IDN-016,"Documents a FHIR R4 (4.0.1) API exposing 30+ resources with SMART on FHIR v2.2.0 and bulk export (Group + Bulk Export operations); the FHIR README lists USCDI v1. ONC (g)(10) Standardized API is certified per CHPL.",https://raw.githubusercontent.com/openemr/openemr/master/FHIR_README.md,"FHIR | R4 (4.0.1) | Full Support",2026-07-14,not_tested,claimed
SEC-001,"Documents unique per-user identity/authentication and supports two-factor authentication (TOTP/U2F); ONC (d)(1) and (d)(13) MFA are certified per CHPL.",https://www.open-emr.org/wiki/index.php/Foundations:_Security_and_Privacy,"Assign a unique name and/or number for identifying and tracking user identity and establish controls that permit only authorized users to access electronic health information.",2026-07-14,not_tested,claimed
SEC-002,"Documents a role-based access control (php-GACL) system configured at Administration->ACL that gates read/create/update/delete/export across categories (admin, accounting, patients, encounters, sensitivities); ONC (d)(1) certified per CHPL.",https://www.open-emr.org/wiki/index.php/Access_Controls_Listing,"Access controls are used throughout OpenEMR to control access by user roles. It can be configured at Administration->ACL.",2026-07-14,not_tested,claimed
SEC-003,"Documents emergency (break glass) access permitting authorized users to reach records during an emergency; ONC (d)(6) Emergency Access certified per CHPL. Reason capture and automatic time-limited expiry are not detailed in primary docs.",https://www.open-emr.org/wiki/index.php/Foundations:_Security_and_Privacy,"Permit authorized users (who are authorized for emergency situations) to access electronic health information during an emergency.",2026-07-14,not_tested,claimed
SEC-004,no_documentation_found,,,2026-07-14,not_tested,
SEC-005,"Documents auditing of login/logout, session timeout, account lockout, patient record create/view/update/delete, query, order, signature, PHI export/import, security administration, and backup/restore events.",https://www.open-emr.org/wiki/index.php/3.1_Auditing_in_OpenEMR,"User login/logout 3. Session timeout 4. Account lockout 5. Patient record created/viewed/updated/deleted 6. Scheduling 7. Query 8. Order 9. node-authentication failure 10. Signature created/validated 11. PHI export (e.g. print) 12. PHI import 13. Security administration events 14. Backup and restore",2026-07-14,not_tested,claimed
SEC-006,"Documents audit records protected from unauthorized deletion and modification, read-restricted to explicitly authorized users, logged to an IHE ATNA-profile audit engine; ONC (d)(3) Audit Report certified per CHPL.",https://www.open-emr.org/wiki/index.php/4._Audit_Control,"The system shall protect the stored audit records from unauthorized deletion. The system shall prevent modifications to the audit records.",2026-07-14,not_tested,claimed
SEC-007,"Documents integrity verification detecting alteration/deletion of health information and audit logs (SHA-1 or higher) plus per-record audit checksums; ONC (d)(8) Integrity certified per CHPL. Interface-payload integrity is not separately documented.",https://www.open-emr.org/wiki/index.php/Foundations:_Security_and_Privacy,"Verify that electronic health information has not been altered in transit and detect the alteration and deletion of electronic health information and audit logs",2026-07-14,not_tested,claimed
SEC-008,"Documents encryption in transit (TLS/IPsec encrypted, integrity-protected link) and at rest (AES-128 or higher for backups/removable media); ONC (d)(7)/(d)(9)/(d)(12) certified per CHPL. Component-by-component coverage (queue, object store) is not enumerated.",https://www.open-emr.org/wiki/index.php/Foundations:_Security_and_Privacy,"An encrypted and integrity protected link must be implemented (e.g., TLS, IPv6, IPv4 with IPsec).",2026-07-14,not_tested,claimed
SEC-009,no_documentation_found,,,2026-07-14,not_tested,
SEC-010,no_documentation_found,,,2026-07-14,not_tested,
SEC-011,"Documents a built-in backup capturing the database (openemr.sql.gz) plus files/scanned documents (openemr.tar.gz) and a restore script (openemr/contrib/util); the backup is labeled PHI. Backup encryption and a defined recovery point (RPO) are not documented.",https://www.open-emr.org/wiki/index.php/Backing_Up_Using_the_Built_In_Tools,"The tarball will contain the gzipped files openemr.sql.gz and openemr.tar.gz.",2026-07-14,not_tested,claimed
SEC-012,no_documentation_found,,,2026-07-14,not_tested,
SEC-013,no_documentation_found,,,2026-07-14,not_tested,
SEC-014,no_documentation_found,,,2026-07-14,not_tested,
SEC-015,no_documentation_found,,,2026-07-14,not_tested,
CLN-001,"Documents a patient chart/portal presenting issues (problems, allergies, medications), demographics, history, and insurance; cross-site aggregation is within one shared database or via CCDA import, not a multi-instance longitudinal record.",https://www.open-emr.org/wiki/index.php/Patient_Portal,"Issues (medical problems, allergies, medications etc.) are also supported.",2026-07-14,not_tested,claimed
CLN-002,"Documents CCDA import via the Carecoordination module with an Accept/Discard workflow into the patient record; item-level reconciliation (accept/reject/replace per item with provenance) is not documented, and OpenEMR 8 is NOT ONC-certified to (b)(2).",https://www.open-emr.org/wiki/index.php/Use_the_Carecoordination_module,"'Accept' or 'Discard' buttons (rectangle top center) takes the changes into the patient record or rejects the CCDA import.",2026-07-14,not_tested,claimed
CLN-003,"Documents e-signature that locks a form (and, optionally, an entire encounter) and disables editing, providing signed-note immutability; ONC (d)(4) Amendments certified per CHPL. Whether an amendment is an appended addendum vs a new linked record is discussed but not firmly specified.",https://www.open-emr.org/wiki/index.php/Admin_Globals_4.2.0_E-Sign,"This will disable the edit button on any form that is e-signed. Default is ON",2026-07-14,not_tested,claimed
CLN-004,"Documents laboratory results with status values (preliminary, cannot be done, final, corrected, incomplete) and report statuses (received, complete, error) via HL7 v2.5.1 ORU; the full placed/accepted/collected order-state lifecycle with specimen identity is only partially documented.",https://www.open-emr.org/wiki/index.php/Lab_Test_Results,"preliminary, cannot be done, final, corrected, incompete...etc.",2026-07-14,not_tested,claimed
CLN-005,"Documents medication ordering/prescribing (create and send prescriptions via e-prescribe/print/fax/email); ONC (a)(1) CPOE-Medications certified per CHPL. Field-level activation gating that blocks incomplete orders is not detailed in primary docs.",https://www.open-emr.org/wiki/index.php/OpenEMR_Features,"Create and send prescriptions",2026-07-14,not_tested,claimed
CLN-006,"Documents drug-drug/drug-allergy interaction checking during CPOE, but implemented via the external eRx interface (NewCrop; RxNav/rxcui online lookups) rather than natively; OpenEMR 8 is NOT ONC-certified to (a)(4).","https://www.open-emr.org/wiki/index.php/Drug-drug,_drug-allergy_interaction_checks_(MU2)","Before a medication order is completed and acted upon during computerized provider order entry (CPOE), interventions must automatically and electronically indicate to a user drug-drug and drug-allergy contraindications based on a patient's medication list and medication allergy list.",2026-07-14,not_tested,claimed
CLN-007,"OpenEMR documents that it does NOT have an eMAR/MAR in the public version; barcoded medication-administration verification (BCMA) of patient/order/med/dose/route/time is not supported.",https://community.open-emr.org/t/emar-how-system-works/23331,"OpenEMR does not have an eMAR as you would see in an in-patient setting such as a hospital.",2026-07-14,not_tested,claimed
CLN-008,"Documents CCDA-based medication import/merge via Carecoordination; structured admission/transfer/discharge medication reconciliation with continue/change/substitute/stop decisions and provenance is not documented, and OpenEMR 8 is NOT ONC-certified to (b)(2).",https://www.open-emr.org/wiki/index.php/Use_the_Carecoordination_module,"When you receive a CCDA file you may create a new patient with it or merge the information in it with an existing patient's record.",2026-07-14,not_tested,claimed
CLN-009,no_documentation_found,,,2026-07-14,not_tested,
CLN-010,no_documentation_found,,,2026-07-14,not_tested,
CLN-011,no_documentation_found,,,2026-07-14,not_tested,
CLN-012,"Documents a Patient Privacy Module and sensitivity-based access control (High-sensitivity encounters require the High access control); consent-state-driven disclosure/exchange enforcement at point of use is only partially documented.",https://www.open-emr.org/wiki/index.php/Access_Controls_Listing,"access control to more sensitive encounters(ie. a user would need the High access control to see encounters that are of High sensitivity)",2026-07-14,not_tested,claimed
CLN-013,"Documents a Clinical Decision Rules (CDR) engine that generates real-time clinical reminders/alerts from decision-support rules; rule versioning and structured logging of triggering facts, user response, and override reason are not documented.",https://www.open-emr.org/wiki/index.php/Clinical_Decision_Rules,"automatically and electronically generate and indicate in real-time, notifications and care suggestions based upon clinical decision support rules.",2026-07-14,not_tested,claimed
CLN-014,"Documents e-prescribing via the WENO Exchange intermediary supporting NewRx and CancelRx (with EPCS as an add-on); RxRenewal and RxChange transactions are not documented, and OpenEMR 8 is NOT ONC-certified to (b)(3).",https://www.open-emr.org/wiki/index.php/OpenEMR_ePrescribe,"NewRx and CancelRxs",2026-07-14,not_tested,claimed
CLN-015,no_documentation_found,,,2026-07-14,not_tested,
CLN-016,"Documents a patient portal for viewing chart content, secure messaging with document transfer, and patient uploads; a full View/Download/Transmit-to-3rd-party export is not clearly documented, and OpenEMR 8 is NOT ONC-certified to (e)(1).",https://www.open-emr.org/wiki/index.php/Patient_Portal,"Secure messaging between clinic and patient, including transfer of attached documents.",2026-07-14,not_tested,claimed
RCM-001,"Documents electronic insurance eligibility: recording/displaying eligibility and submitting eligibility queries to payers and receiving responses per applicable HIPAA transaction standards (X12 270/271).",https://www.open-emr.org/wiki/index.php/Insurance_Eligibility,"submit insurance eligibility queries to public or private payers and receive an eligibility response in accordance with the applicable standards specified in Table 2A row 4: Applicable HIPAA transaction standards required by law.",2026-07-14,not_tested,claimed
RCM-002,no_documentation_found,,,2026-07-14,not_tested,
RCM-003,no_documentation_found,,,2026-07-14,not_tested,
RCM-004,no_documentation_found,,,2026-07-14,not_tested,
RCM-005,"Documents generation of X12 837 claims (a dedicated X12 837p reference page exists) from encounter/fee-sheet data via X12 Options -> Generate X12.",https://www.open-emr.org/wiki/index.php/OpenEMR_6.x_Billing_-_Claims_Workflows,"Instead of clicking 'HCFA Form', click 'X12 Options' then: 'Generate X12'",2026-07-14,not_tested,claimed
RCM-006,"Documents claim validation before submission (X12 Options -> Validate Only) with a validation log identifying errors that would prevent clearinghouse/payer acceptance; errors must be corrected and re-validated before batching.",https://www.open-emr.org/wiki/index.php/OpenEMR_6.x_Billing_-_Claims_Workflows,"The validation log is another place to find what errors exist in the claim file that will prevent it from being accepted by the clearinghouse or insurance company.",2026-07-14,not_tested,claimed
RCM-007,no_documentation_found,,,2026-07-14,not_tested,
RCM-008,"Documents ingesting/posting ERA (835) files with EOB entry; claims not present in OpenEMR are ignored on posting, and re-uploading an already-loaded ERA is prevented (a duplicate-payment guard).",https://www.open-emr.org/wiki/index.php/OpenEMR_6.x_Billing_-_Process_Payments,"If you post an ERA that has claims that are not in your OpenEMR those claims will simply be ignored without touching the uploading system's accounting data.",2026-07-14,not_tested,claimed
RCM-009,"Documents EOB entry with allocation of partial payments; separate ledger buckets for contractual adjustment vs patient responsibility vs payer responsibility vs unapplied, with reason-code traceability, are not detailed.",https://www.open-emr.org/wiki/index.php/OpenEMR_6.x_Billing_-_Process_Payments,"Click 'Allocate' when done with entry of partial EOB",2026-07-14,not_tested,claimed
RCM-010,no_documentation_found,,,2026-07-14,not_tested,
RCM-011,"Documents correcting claims from the claim list and re-validating/resubmitting; immutable retention of the original claim + denial with replacement references and duplicate-payment controls is not documented.",https://www.open-emr.org/wiki/index.php/OpenEMR_6.x_Billing_-_Claims_Workflows,"The errors may be either corrected from the claim list and re-validated til clear of errors, or simply unselect the claims from the list.",2026-07-14,not_tested,claimed
RCM-012,no_documentation_found,,,2026-07-14,not_tested,
RCM-013,no_documentation_found,,,2026-07-14,not_tested,
RCM-014,"The audit log records financial-relevant actions (insert/update/delete/query, PHI export, backup/restore) attributable to a user with time and status; complete before-and-after state capture on every financial action is not detailed.",https://www.open-emr.org/wiki/index.php/3.1_Auditing_in_OpenEMR,"Type of event - Insert/Update/Delete/Query/Others User Name - Name of the user who performs the task",2026-07-14,not_tested,claimed
RCM-015,no_documentation_found,,,2026-07-14,not_tested,
