id,requirement,pillar,authority,authority_status,tier,hard_gate,evidence_level,test_procedure,result,limitation
SEC-002,"Role and context rules prevent a user from reading, creating, changing, or exporting records outside the user's assigned duties and locations.",security,HIPAA Security Rule 45 CFR 164.308(a)(4) and 164.312(a)(1),verified,must,yes,,"Hard-gate domain=access control. Create clinician, registrar, biller, auditor, and administrator accounts scoped to different sites; run a permission matrix across read, create, update, delete, and export actions and verify every unauthorized action is denied and logged.",,
SEC-003,"Emergency break-glass access requires a reason, grants only time-limited access, and produces an immediately reviewable audit event.",security,IDN procurement norm,verified,must,yes,,"Hard-gate domain=access control. Use a user without normal chart access to invoke break glass with and without a reason; verify denial when incomplete, bounded access when valid, automatic expiry, alert generation, and audit content.",,
SEC-004,"Disabling a workforce account revokes active sessions and blocks new access across clinical, administrative, API, and reporting components.",security,HIPAA Security Rule 45 CFR 164.308(a)(3),verified,must,yes,,"Hard-gate domain=access control. Start interactive and API sessions for a synthetic user, disable the identity-provider account, and measure revocation across every component; verify subsequent requests fail and the termination is audited.",,
SEC-005,"The stack records successful and failed authentication plus patient-record create, read, update, delete, print, export, and administrative actions.",security,HIPAA Security Rule 45 CFR 164.312(b); ONC 45 CFR 170.315(d)(2) (Active),verified,must,yes,,"Hard-gate domain=auditability. Execute each listed action through the UI and API, including denied attempts; query the audit store and match every action to user, patient where relevant, time, site, action, outcome, and source component.",,
SEC-006,"Authorized auditors can search an append-only audit history by user, patient, site, action, and time without altering the underlying events.",security,ONC 45 CFR 170.315(d)(3) (Active); IDN procurement norm,verified,must,yes,,"Hard-gate domain=auditability. Generate a known event set, run each supported filter, export the report, attempt to edit and delete events through application and database roles, and verify results are complete and mutation attempts fail or trigger tamper evidence.",,
SEC-007,The stack detects unauthorized alteration of stored clinical records and interface payloads.,security,HIPAA Security Rule 45 CFR 164.312(c)(1); ONC 45 CFR 170.315(d)(8) (Active),verified,must,no,,"Record hashes or signatures for a synthetic note, result, order, and inbound message; alter copies through a controlled privileged test and verify integrity checks identify each change and preserve the original evidence.",,
SEC-008,"Protected data is encrypted in transit and at rest across application, database, object storage, queue, backup, and integration components.",security,"HIPAA Security Rule 45 CFR 164.312(a)(2)(iv) and 164.312(e)(1) (encryption is ADDRESSABLE under the in-force rule; mandatory encryption is PROPOSED only, Jan 2025 NPRM)",verified,must,no,,"Inspect configuration and negotiate connections for every component boundary; reject plaintext paths, verify certificate validation, inspect storage encryption settings, and test that snapshots and backups are unreadable without authorized keys.",,
SEC-009,"Secrets and encryption keys are held outside source code, scoped to the minimum component, rotated, and revoked without rebuilding the stack.",security,IDN procurement norm,verified,must,no,,"Scan repositories and built images for seeded test secrets, enumerate runtime secret scopes, rotate database, API, and encryption credentials, revoke old values, and verify continued service plus failed use of revoked credentials.",,
SEC-010,The deployment identifies which hosting and support parties can access protected data and provides controls needed for a business associate agreement.,security,HIPAA Security Rule business associate provisions,verified,must,no,,"Inventory operators, subprocessors, support paths, log destinations, backups, and administrative access in the assembled deployment; map each to an owner and access control, then verify test PHI does not enter undeclared telemetry or support systems.",,
SEC-011,"Encrypted backups can restore the declared recovery point into an isolated environment with complete, readable, and internally consistent records.",security,"HIPAA Security Rule 45 CFR 164.308(a)(7) (data backup, disaster recovery, and emergency mode operation all Required); IDN procurement norm",verified,must,yes,,"Hard-gate domain=data durability. Create a timestamped manifest, run the documented backup, destroy an isolated test deployment, restore from backup, and reconcile patient, clinical, audit, charge, claim, and payment counts plus checksums to the declared recovery point.",,
SEC-012,"A security incident can be detected, assigned, contained, documented, and closed with preserved evidence and a complete event timeline.",security,HIPAA Security Rule 45 CFR 164.308(a)(6),verified,should,no,,"Inject failed-login bursts, a privileged export, and a simulated compromised token; verify alert creation, assignment, containment action, evidence retention, timeline completeness, and closure approval in the configured incident workflow.",,
SEC-013,Every deployable component has an inventory of versions and dependencies and can be scanned for known vulnerabilities before release.,security,IDN procurement norm,verified,should,no,,"Generate a software bill of materials for each built image and package, run the selected dependency and container scanners, verify version coverage, and demonstrate that a seeded policy-blocking finding prevents promotion.",,
SEC-014,"Development and test users, credentials, data, and interfaces cannot access the production-designated environment.",security,IDN procurement norm,verified,must,no,,"Create separate environment identities and synthetic datasets; attempt network, credential, queue, storage, and API access across boundaries and verify each unauthorized path is blocked and logged.",,
SEC-015,Audit capture remains complete and queryable during the declared four-hospital peak workload and after an audit-store interruption.,security,IDN procurement norm,verified,must,yes,,"Hard-gate domain=auditability. Run the synthetic peak mix while counting expected auditable actions, interrupt the audit sink, restore it, and reconcile event counts, ordering, retry behavior, search latency, and any application back-pressure.",,
CLN-001,"A clinician can view a longitudinal summary of active problems, allergies, medications, recent encounters, results, and care-team members across all IDN sites.",clinical,IDN procurement norm,verified,must,no,,"Seed one synthetic patient with records at three sites; open the summary from each site and compare every displayed item, source organization, status, and timestamp with the source manifest.",,
CLN-002,"At a transition of care, the stack can reconcile imported problems, medications, and allergies as accepted, rejected, or replaced without silently overwriting the existing lists.",clinical,ONC 45 CFR 170.315(b)(2) (Active),verified,must,no,,"Import a synthetic transition summary containing new, duplicate, conflicting, and discontinued items; have a clinician disposition each item and verify the resulting lists, provenance, rejected items, and reconciliation audit trail.",,
CLN-003,"A signed clinical note is immutable, and a correction creates a dated amendment linked to the original author, signer, text, and reason.",clinical,IDN procurement norm (signed-note immutability and addenda); ONC 45 CFR 170.315(d)(4) Amendments (Active) for patient-requested amendments,verified,must,yes,,"Hard-gate domain=auditability. Sign a synthetic note, attempt direct modification, add an amendment as the author and as another authorized clinician, and verify the original remains readable with complete authorship, reason, version, and time history.",,
CLN-004,"A laboratory order moves through placed, accepted, collected, resulted, corrected, and cancelled states without losing patient or specimen identity.",clinical,IDN procurement norm,verified,must,no,,"Place a panel, accept and collect it in the simulated laboratory, return preliminary and final results, correct one result, and cancel another; verify allowed transitions, specimen identifiers, chart display, and notifications.",,
CLN-005,"A medication order cannot be activated unless patient, drug, dose, unit, route, frequency, timing, and ordering clinician are present and valid for the configured workflow.",clinical,ONC 45 CFR 170.315(a)(1) (Active); IDN procurement norm,verified,must,yes,,Hard-gate domain=medication safety. Submit complete and systematically incomplete synthetic medication orders through UI and API; verify incomplete or malformed orders cannot activate and every accepted order retains all required fields and signer identity.,,
CLN-006,"When a medication conflicts with a recorded allergy, the stack interrupts signing and requires either order revision or a documented authorized override.",clinical,ONC 45 CFR 170.315(a)(4) (Active),verified,must,yes,,"Hard-gate domain=medication safety. Record coded drug-class and ingredient allergies, order matching and nonmatching drugs, and verify blocking behavior, alert content, override permissions, reason capture, and audit events.",,
CLN-007,"Medication administration verifies the intended patient, active order, medication, dose, route, and time and blocks a known mismatch.",clinical,IDN procurement norm,verified,must,yes,,"Hard-gate domain=medication safety. Simulate administrations with correct identifiers and with wrong patient, discontinued order, wrong drug, wrong dose, wrong route, and out-of-window time; verify the configured checks, blocks, overrides, and administration record.",,
CLN-008,"Admission, transfer, and discharge medication reconciliation preserves the source of each medication and records continue, change, substitute, and stop decisions.",clinical,ONC 45 CFR 170.315(b)(2) (Active); IDN procurement norm,verified,must,yes,,"Hard-gate domain=medication safety. Seed home, ambulatory, and inpatient medication lists with conflicts; complete reconciliation at admission, transfer, and discharge and compare decisions, provenance, resulting orders, and discharge list with the expected manifest.",,
CLN-009,"An interrupted medication-order submission cannot leave a partially active, unsigned, or duplicated order.",clinical,IDN procurement norm,verified,must,yes,,"Hard-gate domain=medication safety. Interrupt the client, API, message broker, and database connection at defined points during order signing; restore service, retry where appropriate, and verify exactly one fully signed active order or no active order.",,
CLN-010,"A result routed to a clinician can be acknowledged, reassigned, and escalated while retaining who saw it and when.",clinical,IDN procurement norm,verified,must,no,,"Return routine and abnormal synthetic results to an ordering clinician, acknowledge one, reassign one, and leave one unattended; verify inbox state, timestamps, ownership, escalation, and audit events.",,
CLN-011,A configured critical result triggers the declared notification and escalation path until a responsible clinician acknowledges it.,clinical,IDN procurement norm,verified,must,no,,"Return a synthetic result above a configured critical threshold during staffed and after-hours periods; verify notification recipients, retry intervals, escalation sequence, acknowledgement, and closure evidence.",,
CLN-012,Documented consent and privacy restrictions are visible at the point of use and are applied to configured disclosure and exchange workflows.,clinical,HIPAA Privacy Rule (45 CFR Part 164 Subpart E); applicable consent requirements,verified,should,no,,"Record synthetic consent states and a restricted record, then attempt routine care access, external exchange, portal release, and bulk export with permitted and nonpermitted users; verify display, enforcement, and audit outcomes.",,
CLN-013,"A clinical decision-support alert records the patient context, rule version, triggering facts, user response, and override reason when used.",clinical,ONC 45 CFR 170.315(b)(11) Decision Support Interventions (Active; replaced (a)(9) CDS under HTI-1),verified,should,no,,"Trigger a deterministic test rule with a versioned fixture; accept, dismiss, and override it with authorized and unauthorized users, then compare displayed inputs and stored response evidence with the fixture.",,
CLN-014,"The stack can generate, transmit, receive status for, cancel, and renew a synthetic electronic prescription through a clearly identified test adapter.",clinical,"ONC 45 CFR 170.315(b)(3) e-prescribing (Active; updated by HTI-4, effective Oct 1 2025); NCPDP SCRIPT",verified,should,no,,"Use the nonproduction prescribing adapter to send a new prescription, renewal, change, and cancellation; verify identifiers, status transitions, error handling, chart state, and visible labeling of the simulated external network.",,
CLN-015,"A receiving clinician can open a cross-encounter handoff that distinguishes active, completed, cancelled, and pending orders and results.",clinical,IDN procurement norm,verified,must,no,,"Create a sending encounter with mixed order and result states, transfer care to another site, and compare the receiving handoff view with the source manifest; verify unresolved work is prominent and attribution is preserved.",,
RCM-001,"The stack creates a valid synthetic eligibility inquiry and consumes the corresponding eligibility response for the same patient, payer, provider, and service date.",revenue_cycle,"HIPAA transaction standards, 45 CFR Part 162 Subpart L (X12 270/271 eligibility)",verified,must,no,,"Generate a 270 fixture from registration data, submit it to the labeled test payer adapter, ingest approved, inactive, and malformed 271 fixtures, and verify correlation, parsing, status, and error handling.",,
RCM-002,Coverage details returned by eligibility are versioned and attached to the encounter used for downstream estimates and claims.,revenue_cycle,Revenue-cycle procurement norm,verified,must,no,,"Return two eligibility responses with changed deductible and active dates; verify both versions, source payloads, timestamps, encounter linkage, and selection of the applicable version for a synthetic claim.",,
RCM-003,"Every posted charge links to one patient, encounter, service location, performing provider, service date, code, quantity, and amount.",revenue_cycle,Revenue-cycle procurement norm,verified,must,yes,,"Hard-gate domain=claim integrity. Generate charges from ambulatory, emergency, inpatient, laboratory, and imaging workflows; reject fixtures missing each required link and trace every accepted charge back to its source event.",,
RCM-004,"Coding workflow distinguishes suggested, reviewed, accepted, changed, and final codes and identifies the responsible user at each transition.",revenue_cycle,Revenue-cycle procurement norm,verified,must,no,,"Seed suggested diagnosis and procedure codes for a signed synthetic encounter; accept, edit, reject, and finalize codes with different roles and verify status history, author, supporting documentation link, and audit events.",,
RCM-005,"A generated institutional or professional claim preserves patient, coverage, provider, facility, service-line, diagnosis, procedure, quantity, and monetary totals from the approved source records.",revenue_cycle,"HIPAA transaction standards, 45 CFR Part 162 Subpart K (X12 837 claims); payer and CMS claim-content requirements (procurement norm)",verified,must,yes,,"Hard-gate domain=claim integrity. Build institutional and professional synthetic claims, parse the outbound payloads, and reconcile every identifier, service line, code, quantity, and total to registration, coverage, documentation, coding, and charge records.",,
RCM-006,"Pre-submission edits block a claim with missing required data, invalid internal totals, duplicate service lines, or an inactive coverage selection.",revenue_cycle,Payer and CMS claim-edit requirements (procurement norm),verified,must,yes,,"Hard-gate domain=claim integrity. Submit valid fixtures plus one fixture for each listed defect; verify the valid claim advances, defective claims stop before transmission, actionable errors are shown, and corrections retain an audit trail.",,
RCM-007,"Each claim submission, acknowledgement, rejection, acceptance, and payer response correlates to exactly one claim version without overwriting prior versions.",revenue_cycle,"X12 acknowledgment transactions (999/277CA), industry practice (not HIPAA-adopted under 45 CFR Part 162); revenue-cycle procurement norm",verified,must,yes,,"Hard-gate domain=claim integrity. Submit original and corrected claim versions, return accepted, rejected, duplicate, and out-of-order acknowledgements, and verify exact correlation, immutable version history, status, and exception handling.",,
RCM-008,"An electronic remittance can be ingested and posted to the correct claim and service lines with payments, adjustments, and reason codes preserved.",revenue_cycle,"HIPAA transaction standards, 45 CFR Part 162 Subpart P (X12 835 remittance advice)",verified,must,no,,"Ingest full-payment, partial-payment, denial, and malformed 835 fixtures; reconcile claim and line identifiers, payment amounts, adjustment groups, reason codes, posting status, and error-queue contents.",,
RCM-009,"Contractual adjustments, patient responsibility, payer responsibility, and unapplied amounts remain separately traceable after remittance posting.",revenue_cycle,Revenue-cycle procurement norm,verified,must,no,,"Post a synthetic remittance containing coinsurance, deductible, contractual adjustment, denial, and overpayment; verify ledger buckets, balances, source reason codes, and claim-to-ledger traceability.",,
RCM-010,"A denied claim creates a work item with payer reason, owner, due date, source claim version, and documented resolution.",revenue_cycle,Revenue-cycle procurement norm,verified,must,no,,"Return clinical, demographic, authorization, and duplicate denial fixtures; verify queue creation, categorization, assignment, due-date calculation, supporting record links, and closure requirements.",,
RCM-011,"A corrected claim resubmission preserves the original claim and denial, records each change, and prevents accidental duplicate payment posting.",revenue_cycle,"HIPAA transaction standards, 45 CFR Part 162 Subparts K and P (X12 837/835); revenue-cycle procurement norm",verified,must,yes,,"Hard-gate domain=claim integrity. Deny an original synthetic claim, correct one field, resubmit with the required replacement reference, then post a remittance and verify immutable versions, change history, correlation, and duplicate-payment controls.",,
RCM-012,"A charge, claim, payment, or adjustment can be voided or reversed only by an authorized user and without deleting the original ledger event.",revenue_cycle,Revenue-cycle procurement norm,verified,must,no,,"Create and post each transaction type, attempt voids and reversals with authorized and unauthorized roles, and verify permissions, counter-entries, original-event retention, balances, and audit history.",,
RCM-013,"A patient statement presents encounter dates, services, payer activity, adjustments, payments, and remaining responsibility that reconcile to the patient ledger.",revenue_cycle,Revenue-cycle procurement norm,verified,should,no,,"Generate a statement from a synthetic account with two encounters, two payers, an adjustment, a payment plan, and a refund; recompute every displayed subtotal and balance from ledger entries.",,
RCM-014,"Financial record creation, modification, transmission, posting, void, reversal, and export actions are attributable to a user or system actor and time.",revenue_cycle,IDN procurement norm; HIPAA Security Rule 45 CFR 164.312(b),verified,must,yes,,"Hard-gate domain=auditability. Execute each listed action through UI, API, and interface paths; reconcile the financial event ledger to the audit store and verify actor, time, source, before-and-after state, and outcome.",,
RCM-015,"At the declared benchmark load, claim and remittance processing finishes with no lost or duplicated service lines, claim versions, payments, or adjustments.",revenue_cycle,Revenue-cycle procurement norm,verified,should,yes,,"Hard-gate domain=claim integrity. Process a known synthetic batch with originals, corrected claims, denials, partial payments, reversals, and duplicate payloads at increasing rates; reconcile counts and monetary totals and publish throughput, latency, and exception results.",,
IDN-016,"The stack exposes a standardized FHIR R4 API for single-patient and population-level (bulk) access equivalent in scope to ONC 45 CFR 170.315(g)(10), with USCDI data classes retrievable.",idn_scale,ONC 45 CFR 170.315(g)(10) (Active); HTI-1 USCDI v3 baseline (effective Jan 1 2026),verified,must,no,,Connect a SMART on FHIR client to the stack's FHIR endpoint; retrieve a synthetic patient's USCDI data classes via the single-patient API and run a group-level bulk export; validate resource conformance and completeness against the loaded fixtures.,,
CLN-016,"A patient can view, download, and transmit their health information, including visit summaries, results, and medications, through a patient-facing portal or API.",clinical,"IDN procurement norm; ONC 45 CFR 170.315(e)(1) View, download, and transmit to 3rd party (Active)",verified,must,no,,"Log in as a synthetic patient proxy; view chart content, download the record export, and transmit it to a test destination; verify the export matches the chart and every access is audited.",,
